pl_hostname,pl_name,pl_disc,pl_kepflag,pl_locale,pl_discmethod,pl_facility,pl_pnum,pl_orbper,st_dist,st_age,pl_masse,pl_rade,pl_bmassj,pl_radj,pl_dens,st_mass,st_rad,st_dens
HD 183263,HD 183263 b,2004,0,Ground,Radial Velocity,W. M. Keck Observatory,2,626.51599,54.28,,,,3.95,,,1.31,1.23,
HD 183263,HD 183263 c,2008,0,Ground,Radial Velocity,W. M. Keck Observatory,2,3070,54.28,,,,3.57,,,1.31,1.23,
HD 185269,HD 185269 b,2006,0,Ground,Radial Velocity,Lick Observatory,1,6.83776,52.07,,,,1.01,,,1.3,2,
HD 187085,HD 187085 b,2006,0,Ground,Radial Velocity,Anglo-Australian Telescope,1,986,45.96,3.3,,,0.75,,,1.22,,
HD 187123,HD 187123 b,1998,0,Ground,Radial Velocity,W. M. Keck Observatory,2,3.0965828,46.02,,,,0.523,,,1,,
HD 187123,HD 187123 c,2008,0,Ground,Radial Velocity,W. M. Keck Observatory,2,3810,46.02,,,,1.99,,,1,,
HD 18742,HD 18742 b,2011,0,Ground,Radial Velocity,W. M. Keck Observatory,1,766,163.37,,,,3.4,,,1.36,5.13,
HD 188015,HD 188015 b,2004,0,Ground,Radial Velocity,W. M. Keck Observatory,1,461.2,50.74,,,,1.5,,,1.09,,
HD 189733,HD 189733 b,2005,0,Ground,Radial Velocity,Haute-Provence Observatory,1,2.21857567,19.78,,359.1479,12.666,1.13,1.13,,0.79,0.75,2.65
HD 190360,HD 190360 b,2003,0,Ground,Radial Velocity,Haute-Provence Observatory,2,2915.03687,16.01,,,,1.54,,,0.99,1.14,
HD 190360,HD 190360 c,2005,0,Ground,Radial Velocity,W. M. Keck Observatory,2,17.111,16.01,,,,0.06,,,0.99,1.14,
HD 190647,HD 190647 b,2007,0,Ground,Radial Velocity,La Silla Observatory,1,1038.09998,54.56,,,,1.94,,,1.14,1.45,
HD 190984,HD 190984 b,2009,0,Ground,Radial Velocity,La Silla Observatory,1,4885,148.81,,,,3.1,,,0.91,1.53,
HD 191806,HD 191806 b,2016,0,Ground,Radial Velocity,Haute-Provence Observatory,1,1606.3,65.79,2.9,,,8.52,,,1.14,,
HD 192263,HD 192263 b,1999,0,Ground,Radial Velocity,La Silla Observatory,1,24.3556,19.65,,,,0.56,,,0.66,0.74,
HD 192310,HD 192310 b,2011,0,Ground,Radial Velocity,La Silla Observatory,2,74.72,8.8,7.81,,,0.0532,,,0.8,,
HD 192310,HD 192310 c,2011,0,Ground,Radial Velocity,La Silla Observatory,2,525.8,8.8,7.81,,,0.076,,,0.8,,
HD 192699,HD 192699 b,2007,0,Ground,Radial Velocity,Lick Observatory,1,340.94,72.01,,,,2.096,,,1.38,4.41,
HD 195019,HD 195019 b,1998,0,Ground,Radial Velocity,Lick Observatory,1,18.20132,37.71,,,,3.98,,,1.21,1.48,
HD 196050,HD 196050 b,2002,0,Ground,Radial Velocity,Anglo-Australian Telescope,1,1378,50.75,,,,3.18,,,1.31,1.42,
HD 196067,HD 196067 b,2012,0,Ground,Radial Velocity,La Silla Observatory,1,3638,39.98,3.3,,,6.9,,,1.29,1.73,
HD 196885,HD 196885 b,2007,0,Ground,Radial Velocity,Haute-Provence Observatory,1,1333,34.2,3.12,,,2.58,,,1.28,1.31,
HD 197037,HD 197037 b,2012,0,Ground,Radial Velocity,McDonald Observatory,1,1035.7,33,1.9,,,0.79,,,1.11,,
HD 19994,HD 19994 b,2003,0,Ground,Radial Velocity,La Silla Observatory,1,466.2,22.54,,,,1.37,,,1.36,,
HD 20003,HD 20003 b,2019,0,Ground,Radial Velocity,La Silla Observatory,2,11.8482,43.8,,,,0.0367,,,0.88,,
HD 20003,HD 20003 c,2019,0,Ground,Radial Velocity,La Silla Observatory,2,33.9239,43.8,,,,0.0454,,,0.88,,
HD 200964,HD 200964 b,2010,0,Ground,Radial Velocity,Lick Observatory,2,606.3,72.74,,,,1.599,,,1.39,4.92,
HD 200964,HD 200964 c,2010,0,Ground,Radial Velocity,Lick Observatory,2,852.5,72.74,,,,1.214,,,1.39,4.92,
HD 202206,HD 202206 c,2004,0,Ground,Radial Velocity,La Silla Observatory,1,1260,45.5,,5689.157,,17.9,,,1.27,1.03,
HD 202696,HD 202696 b,2019,0,Ground,Radial Velocity,W. M. Keck Observatory,2,517.8,189.56,1.32,634.38868,,1.996,,,1.91,6.43,
HD 202696,HD 202696 c,2019,0,Ground,Radial Velocity,W. M. Keck Observatory,2,946.6,189.56,1.32,592.43512,,1.864,,,1.91,6.43,
HD 202772 A,HD 202772 A b,2019,0,Space,Transit,Transiting Exoplanet Survey Satellite (TESS),1,3.308958,147.2,1.7,323.23311,17.318,1.017,1.545,0.343,1.72,2.59,0.14
HD 203030,HD 203030 b,2006,0,Ground,Imaging,Palomar Observatory,1,,39.29,0.22,7656.097,,24.09,,,,,
HD 203473,HD 203473 b,2018,0,Ground,Radial Velocity,W. M. Keck Observatory,1,1552.9,72.79,5.22,,,7.8,,,1.12,1.33,
HD 2039,HD 2039 b,2002,0,Ground,Radial Velocity,Anglo-Australian Telescope,1,1120,85.9,,,,6.29,,,1.23,1.19,
HD 204313,HD 204313 b,2010,0,Ground,Radial Velocity,La Silla Observatory,2,1920.09998,47.86,,,,3.46,,,1.03,1.1,
HD 204313,HD 204313 c,2015,0,Ground,Radial Velocity,La Silla Observatory,2,34.905,47.86,,,,0.0553,,,1.03,1.1,
HD 204941,HD 204941 b,2011,0,Ground,Radial Velocity,La Silla Observatory,1,1733,28.74,,,,0.23,,,0.58,0.78,
HD 205739,HD 205739 b,2008,0,Ground,Radial Velocity,Las Campanas Observatory,1,279.8,92.74,2.84,,,1.37,,,1.22,1.33,
HD 206255,HD 206255 b,2019,0,Ground,Radial Velocity,Las Campanas Observatory,1,96.045,75.4,,,,0.1076,,,1.42,,
HD 206610,HD 206610 b,2009,0,Ground,Radial Velocity,W. M. Keck Observatory,1,673.2,147.78,,,,2.036,,,1.55,6.12,
HD 20781,HD 20781 b,2019,0,Ground,Radial Velocity,La Silla Observatory,4,5.3135,35.37,,,,0.0061,,,0.7,,
HD 20781,HD 20781 c,2019,0,Ground,Radial Velocity,La Silla Observatory,4,13.8905,35.37,,,,0.0168,,,0.7,,
HD 20781,HD 20781 d,2019,0,Ground,Radial Velocity,La Silla Observatory,4,29.158,35.37,,,,0.0334,,,0.7,,
HD 20781,HD 20781 e,2019,0,Ground,Radial Velocity,La Silla Observatory,4,85.5073,35.37,,,,0.0442,,,0.7,,
HD 20782,HD 20782 b,2006,0,Ground,Radial Velocity,Anglo-Australian Telescope,1,597.0643,35.5,,,,1.4878,,,1.07,1.11,
HD 207832,HD 207832 b,2012,0,Ground,Radial Velocity,W. M. Keck Observatory,2,160.07,59.03,1.36,,,0.56,,,1.05,0.89,
HD 207832,HD 207832 c,2012,0,Ground,Radial Velocity,W. M. Keck Observatory,2,1155.7,59.03,1.36,,,0.73,,,1.05,0.89,
HD 20794,HD 20794 b,2011,0,Ground,Radial Velocity,La Silla Observatory,4,18.315,6,5.76,,,0.0085,,,0.7,,
HD 20794,HD 20794 c,2011,0,Ground,Radial Velocity,La Silla Observatory,4,40.114,6,5.76,,,0.0076,,,0.7,,
HD 20794,HD 20794 d,2011,0,Ground,Radial Velocity,La Silla Observatory,4,90.309,6,5.76,,,0.015,,,0.7,,
HD 20794,HD 20794 e,2017,0,Ground,Radial Velocity,La Silla Observatory,4,147.02,6,5.76,,,0.01501,,,0.7,,
HD 208487,HD 208487 b,2004,0,Ground,Radial Velocity,Anglo-Australian Telescope,1,130.08,44,,,,0.52,,,1.13,,
HD 208527,HD 208527 b,2012,0,Ground,Radial Velocity,Bohyunsan Optical Astronomical Observatory,1,875.5,314.48,2,,,9.9,,,1.6,51.1,
HD 20868,HD 20868 b,2008,0,Ground,Radial Velocity,La Silla Observatory,1,380.85001,48.9,,,,1.25,,,0.39,0.76,
HD 208897,HD 208897 b,2017,0,Ground,Radial Velocity,Multiple Observatories,1,352.7,64.68,,,,1.4,,,1.25,4.98,
HD 209458,HD 209458 b,1999,0,Ground,Radial Velocity,W. M. Keck Observatory,1,3.52474859,48.37,,232.0159,15.581,0.73,1.39,,1.23,1.19,1.04
HD 210193,HD 210193 b,2019,0,Ground,Radial Velocity,Las Campanas Observatory,1,649.918,42.25,,,,0.4817,,,1.04,,
HD 210277,HD 210277 b,1998,0,Ground,Radial Velocity,W. M. Keck Observatory,1,442.19,21.31,,,,1.29,,,1.01,1.07,
HD 210702,HD 210702 b,2007,0,Ground,Radial Velocity,Lick Observatory,1,354.1,54.28,,,,1.808,,,1.61,4.92,
HD 211810,HD 211810 b,2018,0,Ground,Radial Velocity,W. M. Keck Observatory,1,1558,64.76,,,,0.67,,,1.03,1.13,
HD 211970,HD 211970 b,2019,0,Ground,Radial Velocity,Las Campanas Observatory,1,25.201,13,,,,0.0409,,,0.61,,
HD 212301,HD 212301 b,2005,0,Ground,Radial Velocity,La Silla Observatory,1,2.24571,54.32,,,,0.51,,,1.55,1.16,
HD 212771,HD 212771 b,2009,0,Ground,Radial Velocity,W. M. Keck Observatory,1,380.7,111.51,,,,2.39,,,1.56,5.27,
HD 213240,HD 213240 b,2001,0,Ground,Radial Velocity,La Silla Observatory,1,882.70001,40.92,,,,5.58,,,1.57,1.51,
HD 21411,HD 21411 b,2019,0,Ground,Radial Velocity,Las Campanas Observatory,1,84.288,29.16,,,,0.20734,,,0.89,,
HD 214823,HD 214823 b,2016,0,Ground,Radial Velocity,Haute-Provence Observatory,1,1854.4,101.66,4.34,,,20.3,,,1.31,2.04,
HD 215152,HD 215152 b,2018,0,Ground,Radial Velocity,La Silla Observatory,4,5.75999,21.61,,,,0.00572,,,0.77,0.73,
HD 215152,HD 215152 c,2018,0,Ground,Radial Velocity,La Silla Observatory,4,7.28243,21.61,,,,0.00541,,,0.77,0.73,
HD 215152,HD 215152 d,2018,0,Ground,Radial Velocity,La Silla Observatory,4,10.86499,21.61,,,,0.00881,,,0.77,0.73,
HD 215152,HD 215152 e,2018,0,Ground,Radial Velocity,La Silla Observatory,4,25.1967,21.61,,,,0.00905,,,0.77,0.73,
HD 215497,HD 215497 b,2009,0,Ground,Radial Velocity,La Silla Observatory,2,3.93404,40.59,,,,0.02,,,0.67,0.85,
HD 215497,HD 215497 c,2009,0,Ground,Radial Velocity,La Silla Observatory,2,567.94,40.59,,,,0.33,,,0.67,0.85,
HD 216435,HD 216435 b,2002,0,Ground,Radial Velocity,Anglo-Australian Telescope,1,1311,33.01,3,,,1.26,,,1.3,,
HD 216437,HD 216437 b,2002,0,Ground,Radial Velocity,Anglo-Australian Telescope,1,1256,26.71,5.8,,,1.82,,,1.06,,
HD 216536,HD 216536 b,2015,0,Ground,Radial Velocity,McDonald Observatory,1,148.60001,380.33,,,,1.05,,,0.81,9.83,
HD 216770,HD 216770 b,2003,0,Ground,Radial Velocity,La Silla Observatory,1,118.45,36.7,,,,0.57,,,0.74,0.93,
HD 21693,HD 21693 b,2019,0,Ground,Radial Velocity,La Silla Observatory,2,22.6786,32.38,,,,0.0259,,,0.8,,
HD 21693,HD 21693 c,2019,0,Ground,Radial Velocity,La Silla Observatory,2,53.7357,32.38,,,,0.0547,,,0.8,,
HD 217107,HD 217107 b,1998,0,Ground,Radial Velocity,Lick Observatory,2,7.12682,20.07,,,,1.3,,,1,1.11,
HD 217107,HD 217107 c,2005,0,Ground,Radial Velocity,Lick Observatory,2,4270,20.07,,,,2.6,,,1,1.11,
GJ 143,HD 21749 c,2019,0,Space,Transit,Transiting Exoplanet Survey Satellite (TESS),2,7.78993,16.33,3.8,3.7,0.892,0.01164,0.08,31.93,0.73,0.69,3.03
HD 217786,HD 217786 b,2011,0,Ground,Radial Velocity,La Silla Observatory,1,1319,54.8,7.6,,,13,,,1.02,1.27,
HD 217850,HD 217850 b,2018,0,Ground,Radial Velocity,W. M. Keck Observatory,1,3501.3,65.9,7.59,,,21.6,,,1.03,1.21,
HD 218566,HD 218566 b,2010,0,Ground,Radial Velocity,W. M. Keck Observatory,1,225.7,28.85,,,,0.2,,,0.76,0.85,
HD 219077,HD 219077 b,2012,0,Ground,Radial Velocity,La Silla Observatory,1,5501,29.2,8.9,,,10.39,,,1.05,1.91,
HD 219134,HD 219134 b,2015,0,Ground,Radial Velocity,Roque de los Muchachos Observatory,6,3.092926,6.55,11,4.74,1.602,0.01491,0.143,6.34,0.81,0.78,2.438
HD 219134,HD 219134 c,2015,0,Ground,Radial Velocity,Roque de los Muchachos Observatory,6,6.76458,6.55,11,4.36,1.511,0.01372,0.135,6.95,0.81,0.78,2.438
HD 219134,HD 219134 d,2015,0,Ground,Radial Velocity,Roque de los Muchachos Observatory,6,46.859,6.55,11,16.17,1.61,0.05088,0.144,,0.81,0.78,2.438
HD 219134,HD 219134 f,2015,0,Ground,Radial Velocity,Multiple Observatories,6,22.717,6.55,11,7.3,1.31,0.02297,0.117,,0.81,0.78,2.438
HD 219134,HD 219134 g,2015,0,Ground,Radial Velocity,Multiple Observatories,6,94.2,6.55,11,,,0.034,,,0.81,0.78,2.438
HD 219134,HD 219134 h,2015,0,Ground,Radial Velocity,Roque de los Muchachos Observatory,6,2247,6.55,11,,,0.34,,,0.81,0.78,2.438
HD 219415,HD 219415 b,2012,0,Ground,Radial Velocity,McDonald Observatory,1,2093.3,169.78,,,,1,,,1,2.9,
HD 219666,HD 219666 b,2018,0,Space,Transit,Transiting Exoplanet Survey Satellite (TESS),1,6.03607,94.43,10,16.6,4.71,0.05223,0.42,0.87,0.92,1.03,
HD 219828,HD 219828 b,2007,0,Ground,Radial Velocity,La Silla Observatory,2,3.83492,77.9,5.69,,,0.066,,,1.18,1.61,
HD 219828,HD 219828 c,2016,0,Ground,Radial Velocity,Multiple Facilities,2,4682,77.9,5.69,,,14.6,,,1.18,1.61,
HD 220074,HD 220074 b,2012,0,Ground,Radial Velocity,Bohyunsan Optical Astronomical Observatory,1,672.09998,327.41,,,,16.64,,,2.2,54.92,
HD 220689,HD 220689 b,2012,0,Ground,Radial Velocity,La Silla Observatory,1,2209,46.94,3.5,,,1.06,,,1.04,1.07,
HD 220773,HD 220773 b,2011,0,Ground,Radial Velocity,McDonald Observatory,1,3724.7,49,4.4,,,1.45,,,1.16,,
HD 220842,HD 220842 b,2016,0,Ground,Radial Velocity,Haute-Provence Observatory,1,218.47,62.5,,,,3.18,,,1.13,,
HD 221287,HD 221287 b,2007,0,Ground,Radial Velocity,La Silla Observatory,1,456.1,56.01,1.3,,,3.09,,,1.25,,
HD 221416,HD 221416 b,2019,0,Space,Transit,Transiting Exoplanet Survey Satellite (TESS),1,14.2767,95.08,4.9,60.5,9.17,0.19,0.836,0.431,1.21,2.94,0.067
HD 221420,HD 221420 b,2019,0,Ground,Radial Velocity,Anglo-Australian Telescope,1,22482,31.17,,,,9.7,,,1.67,,
HD 221585,HD 221585 b,2016,0,Ground,Radial Velocity,Haute-Provence Observatory,1,1173,55.94,6.2,,,1.61,,,1.19,,
HD 222076,HD 222076 b,2016,0,Ground,Radial Velocity,Multiple Observatories,1,871,83.5,,,,1.56,,,1.07,4.1,
HD 222155,HD 222155 b,2011,0,Ground,Radial Velocity,Haute-Provence Observatory,1,3999,50.68,,,,2.12,,,1.21,1.85,
HD 222582,HD 222582 b,1999,0,Ground,Radial Velocity,W. M. Keck Observatory,1,572.38,42.21,,,,8.37,,,1.12,1.13,
HD 224538,HD 224538 b,2016,0,Ground,Radial Velocity,Multiple Observatories,1,1189.1,77.76,2,,,5.97,,,1.34,1.54,
HD 224693,HD 224693 b,2006,0,Ground,Radial Velocity,W. M. Keck Observatory,1,26.6904,93.75,4.12,,,0.7,,,1.31,1.93,
HD 22781,HD 22781 b,2011,0,Ground,Radial Velocity,Haute-Provence Observatory,1,528.07,32.63,4.8,,,13.65,,,0.75,,
HD 23079,HD 23079 b,2001,0,Ground,Radial Velocity,Anglo-Australian Telescope,1,730.59998,33.49,,,,2.61,,,1.12,1.07,
HD 23127,HD 23127 b,2006,0,Ground,Radial Velocity,Anglo-Australian Telescope,1,1214,94.11,,,,1.64,,,1.42,1.64,
HD 231701,HD 231701 b,2007,0,Ground,Radial Velocity,W. M. Keck Observatory,1,141.63,109.22,3.43,,,1.13,,,1.21,1.53,
HD 233604,HD 233604 b,2013,0,Ground,Radial Velocity,McDonald Observatory,1,192,868.63,2.4,,,6.575,,,1.5,10.9,
HD 23472,HD 23472 b,2019,0,Space,Transit,Transiting Exoplanet Survey Satellite (TESS),2,17.667,39.08,,17.92,,0.05638,,,0.75,0.73,
HD 23472,HD 23472 c,2019,0,Space,Transit,Transiting Exoplanet Survey Satellite (TESS),2,29.625,39.08,,17.18,,0.05405,,,0.75,0.73,
HD 23596,HD 23596 b,2003,0,Ground,Radial Velocity,Haute-Provence Observatory,1,1561,52,,,,9.03,,,1.47,1.53,
HD 238914,HD 238914 b,2018,0,Ground,Radial Velocity,Multiple Observatories,1,4100,527.24,,,,6,,,1.47,12.73,
HD 240210,HD 240210 b,2009,0,Ground,Radial Velocity,McDonald Observatory,1,501.75,142.86,,,,5.21,,,0.82,,
HD 240237,HD 240237 b,2011,0,Ground,Radial Velocity,McDonald Observatory,1,745.70001,958.16,,,,15.89,,,8.76,71.23,
HD 24040,HD 24040 b,2006,0,Ground,Radial Velocity,W. M. Keck Observatory,1,3668,46.68,,,,3.86,,,1.11,1.3,
HD 24064,HD 24064 b,2015,0,Ground,Radial Velocity,Bohyunsan Optical Astronomical Observatory,1,535.59998,264.4,,,,12.89,,,1.61,40,
HD 24085,HD 24085 b,2019,0,Ground,Radial Velocity,Las Campanas Observatory,1,2.0455,54.99,,,,0.03713,,,1.22,,
HD 25015,HD 25015 b,2019,0,Ground,Radial Velocity,La Silla Observatory,1,6019.32,37.47,4,,,4.48,,,0.86,0.83,
HD 25171,HD 25171 b,2010,0,Ground,Radial Velocity,La Silla Observatory,1,1845,55.7,4,,,0.95,,,1.09,1.18,
HD 2638,HD 2638 b,2005,0,Ground,Radial Velocity,La Silla Observatory,1,3.4442,55.05,,,,0.42,,,0.77,0.94,
HD 26965,HD 26965 b,2018,0,Ground,Radial Velocity,Multiple Observatories,1,42.378,5.04,6.9,,,0.02665,,,0.78,0.87,
HD 27442,HD 27442 b,2000,0,Ground,Radial Velocity,Anglo-Australian Telescope,1,428.1,18.28,,,,1.56,,,1.23,,
HD 27631,HD 27631 b,2012,0,Ground,Radial Velocity,La Silla Observatory,1,2208,50.36,4.4,,,1.45,,,0.94,1,
HD 27894,HD 27894 b,2005,0,Ground,Radial Velocity,La Silla Observatory,3,18.02,43.88,,,,0.665,,,0.8,,
HD 27894,HD 27894 c,2017,0,Ground,Radial Velocity,La Silla Observatory,3,36.07,43.88,,,,0.162,,,0.8,,
HD 27894,HD 27894 d,2017,0,Ground,Radial Velocity,La Silla Observatory,3,5174,43.88,,,,5.415,,,0.8,,
HD 28185,HD 28185 b,2001,0,Ground,Radial Velocity,La Silla Observatory,1,379,39.6,,,,5.9,,,1.02,1.03,
HD 28254,HD 28254 b,2010,0,Ground,Radial Velocity,La Silla Observatory,1,1116,54.7,,,,1.16,,,1.06,1.48,
HD 285507,HD 285507 b,2013,0,Ground,Radial Velocity,Fred Lawrence Whipple Observatory,1,6.0881,45.09,,,,0.98,,,0.82,0.69,
HD 285968,HD 285968 b,2008,0,Ground,Radial Velocity,La Silla Observatory,1,8.7836,9.47,,,,0.026,,,0.45,0.45,
HD 28678,HD 28678 b,2011,0,Ground,Radial Velocity,W. M. Keck Observatory,1,380.2,190.92,,,,1.542,,,1.53,6.48,
HD 29021,HD 29021 b,2017,0,Ground,Radial Velocity,Haute-Provence Observatory,1,1362.3,31.02,7.4,,,2.4,,,0.85,0.85,
HD 290327,HD 290327 b,2009,0,Ground,Radial Velocity,La Silla Observatory,1,2443,56.7,,,,2.43,,,0.84,0.95,
HD 2952,HD 2952 b,2013,0,Ground,Radial Velocity,Okayama Astrophysical Observatory,1,311.60001,110.45,,,,1.37,,,1.97,10.76,
HD 30177,HD 30177 b,2002,0,Ground,Radial Velocity,Anglo-Australian Telescope,2,2770,55.68,,,,9.46,,,0.93,1.13,
HD 30177,HD 30177 c,2016,0,Ground,Radial Velocity,Multiple Observatories,2,11613,55.68,,,,7.6,,,0.93,1.13,
HD 30562,HD 30562 b,2009,0,Ground,Radial Velocity,Lick Observatory,1,1157,26.18,,,,1.22,,,1.12,1.61,
HD 30669,HD 30669 b,2014,0,Ground,Radial Velocity,La Silla Observatory,1,1684,57.1,4.8,,,0.47,,,0.92,0.91,
HD 30856,HD 30856 b,2011,0,Ground,Radial Velocity,W. M. Keck Observatory,1,847,131.7,,,,1.547,,,1.17,4.4,
HD 31253,HD 31253 b,2010,0,Ground,Radial Velocity,W. M. Keck Observatory,1,466,58.24,,,,0.62,,,1.7,1.75,
HD 31527,HD 31527 b,2019,0,Ground,Radial Velocity,La Silla Observatory,3,16.5535,38.57,,,,0.0329,,,0.96,,
HD 31527,HD 31527 c,2019,0,Ground,Radial Velocity,La Silla Observatory,3,51.2053,38.57,,,,0.0445,,,0.96,,
HD 31527,HD 31527 d,2019,0,Ground,Radial Velocity,La Silla Observatory,3,271.6737,38.57,,,,0.0372,,,0.96,,
HD 3167,HD 3167 b,2016,0,Space,Transit,K2,3,0.959624,47.36,,,1.7,,0.152,,0.94,0.87,
HD 3167,HD 3167 c,2016,0,Space,Transit,K2,3,29.83832,47.36,,,2.86,,0.255,,0.94,0.87,
HD 3167,HD 3167 d,2017,0,Ground,Radial Velocity,W. M. Keck Observatory,3,8.509,47.36,,,,0.02171,,,0.94,0.87,
HD 32518,HD 32518 b,2009,0,Ground,Radial Velocity,Thueringer Landessternwarte Tautenburg,1,157.54,122.55,5.83,,,3.04,,,1.13,10.22,
HD 32963,HD 32963 b,2015,0,Ground,Radial Velocity,W. M. Keck Observatory,1,2372,38.12,4.99,,,0.7,,,0.94,,
HD 330075,HD 330075 b,2004,0,Ground,Radial Velocity,La Silla Observatory,1,3.38773,45.36,,,,0.48,,,0.47,0.84,
HD 33142,HD 33142 b,2011,0,Ground,Radial Velocity,W. M. Keck Observatory,2,326,121.8,,,,1.385,,,1.41,4.45,
HD 33142,HD 33142 c,2018,0,Ground,Radial Velocity,W. M. Keck Observatory,2,834,121.8,,,,5.97,,,1.41,4.45,
HD 33283,HD 33283 b,2006,0,Ground,Radial Velocity,W. M. Keck Observatory,1,18.1991,90.1,3.63,,,0.329,,,1.38,1.97,
HD 33564,HD 33564 b,2005,0,Ground,Radial Velocity,Haute-Provence Observatory,1,388,20.97,3,,,9.1,,,1.25,,
HD 33844,HD 33844 b,2015,0,Ground,Radial Velocity,Anglo-Australian Telescope,2,551.40002,100.9,,,,2.01,,,1.84,5.39,
HD 33844,HD 33844 c,2015,0,Ground,Radial Velocity,Anglo-Australian Telescope,2,916,100.9,,,,1.75,,,1.84,5.39,
HD 34445,HD 34445 b,2009,0,Ground,Radial Velocity,W. M. Keck Observatory,6,1049,46.15,,,,0.82,,,1.14,1.38,
HD 34445,HD 34445 c,2017,0,Ground,Radial Velocity,Multiple Observatories,6,214.67,46.15,,,,0.168,,,1.14,1.38,
HD 34445,HD 34445 d,2017,0,Ground,Radial Velocity,Multiple Observatories,6,117.87,46.15,,,,0.097,,,1.14,1.38,
HD 34445,HD 34445 e,2017,0,Ground,Radial Velocity,Multiple Observatories,6,49.175,46.15,,,,0.0529,,,1.14,1.38,
HD 34445,HD 34445 f,2017,0,Ground,Radial Velocity,Multiple Observatories,6,676.8,46.15,,,,0.119,,,1.14,1.38,
HD 34445,HD 34445 g,2017,0,Ground,Radial Velocity,Multiple Observatories,6,5700,46.15,,,,0.38,,,1.14,1.38,
HD 35759,HD 35759 b,2016,0,Ground,Radial Velocity,Haute-Provence Observatory,1,82.467,72.5,,,,3.76,,,1.15,,
HD 3651,HD 3651 b,2003,0,Ground,Radial Velocity,Multiple Observatories,1,62.25,11.1,,,,0.228,,,0.8,,
HD 37124,HD 37124 b,2002,0,Ground,Radial Velocity,W. M. Keck Observatory,3,154.378,31.69,,,,0.675,,,0.85,,
HD 37124,HD 37124 c,2002,0,Ground,Radial Velocity,W. M. Keck Observatory,3,885.5,31.69,,,,0.652,,,0.85,,
HD 37124,HD 37124 d,2005,0,Ground,Radial Velocity,W. M. Keck Observatory,3,1862,31.69,,,,0.696,,,0.85,,
HD 37605,HD 37605 b,2004,0,Ground,Radial Velocity,McDonald Observatory,2,55.01292,46.85,5.65,,,2.69,,,0.94,0.91,
HD 37605,HD 37605 c,2012,0,Ground,Radial Velocity,Multiple Observatories,2,2720,46.85,5.65,,,3.19,,,0.94,0.91,
HD 38283,HD 38283 b,2010,0,Ground,Radial Velocity,Anglo-Australian Telescope,1,363.20001,38.1,,,,0.4,,,1.37,1.49,
HD 38529,HD 38529 b,2000,0,Ground,Radial Velocity,Multiple Observatories,2,14.30944,42.4,,,,0.797,,,1.41,2.56,
HD 38529,HD 38529 c,2000,0,Ground,Radial Velocity,Multiple Observatories,2,2136.1,42.4,,,,12.99,,,1.41,2.56,
HD 38801,HD 38801 b,2009,0,Ground,Radial Velocity,Subaru Telescope,1,686.8,91.68,,,,10.13,,,1.29,2.41,
HD 39091,HD 39091 b,2001,0,Ground,Radial Velocity,Anglo-Australian Telescope,2,2093.07,18.28,2.98,,,10.02,,,1.09,1.1,1.148
HD 39855,HD 39855 b,2019,0,Ground,Radial Velocity,Las Campanas Observatory,1,3.2498,23.28,,,,0.02674,,,0.87,,
HD 40307,HD 40307 b,2009,0,Ground,Radial Velocity,La Silla Observatory,5,4.3123,12.94,4.5,,,0.0126,,,0.77,,
HD 40307,HD 40307 c,2009,0,Ground,Radial Velocity,La Silla Observatory,5,9.6184,12.94,4.5,,,0.0208,,,0.77,,
HD 40307,HD 40307 d,2009,0,Ground,Radial Velocity,La Silla Observatory,5,20.432,12.94,4.5,,,0.0299,,,0.77,,
HD 40307,HD 40307 f,2013,0,Ground,Radial Velocity,La Silla Observatory,5,51.76,12.94,4.5,,,0.0164,,,0.77,,
HD 40307,HD 40307 g,2013,0,Ground,Radial Velocity,La Silla Observatory,5,197.8,12.94,4.5,,,0.0223,,,0.77,,
HD 40956,HD 40956 b,2017,0,Ground,Radial Velocity,Multiple Observatories,1,578.6,118.48,1.35,,,2.7,,,2,8.56,
HD 40979,HD 40979 b,2002,0,Ground,Radial Velocity,Multiple Observatories,1,264.14999,33.3,,,,4.67,,,1.45,1.21,
HD 41004 A,HD 41004 A b,2004,0,Ground,Radial Velocity,La Silla Observatory,1,963,43.03,1.6,,,2.54,,,0.7,,
HD 41004 B,HD 41004 B b,2003,0,Ground,Radial Velocity,La Silla Observatory,1,1.3283,43.03,,,,18.37,,,0.4,,
HD 4113,HD 4113 b,2007,0,Ground,Radial Velocity,La Silla Observatory,1,526.62,41.92,6.4,,,1.56,,,0.99,,
HD 42012,HD 42012 b,2017,0,Ground,Radial Velocity,Haute-Provence Observatory,1,857.5,37.1,4.1,,,1.6,,,0.83,0.82,
HD 4203,HD 4203 b,2001,0,Ground,Radial Velocity,W. M. Keck Observatory,2,431.88,81.57,,,,2.23,,,1.25,1.42,
HD 4203,HD 4203 c,2014,0,Ground,Radial Velocity,Gemini Observatory,2,6700,81.57,,,,2.17,,,1.25,1.42,
HD 4208,HD 4208 b,2001,0,Ground,Radial Velocity,W. M. Keck Observatory,1,828,34.23,,,,0.82,,,0.9,0.92,
HD 42618,HD 42618 b,2016,0,Ground,Radial Velocity,Multiple Observatories,1,149.61,23.5,,,,0.04531,,,1.01,1,
HD 4308,HD 4308 b,2005,0,Ground,Radial Velocity,La Silla Observatory,1,15.56,22.03,,,,0.05,,,0.93,1.02,
