pl_hostname,pl_name,pl_disc,pl_kepflag,pl_locale,pl_discmethod,pl_facility,pl_pnum,pl_orbper,st_dist,st_age,pl_masse,pl_rade,pl_bmassj,pl_radj,pl_dens,st_mass,st_rad,st_dens
Kepler-324,Kepler-324 c,2014,1,Space,Transit,Kepler,2,51.805612,492,,,3.15,,0.281,,,0.84,
Kepler-325,Kepler-325 b,2014,1,Space,Transit,Kepler,3,4.544439,883,,,2.91,,0.26,,,1,
Kepler-325,Kepler-325 c,2014,1,Space,Transit,Kepler,3,12.762172,883,,,2.54,,0.227,,,1,
Kepler-325,Kepler-325 d,2014,1,Space,Transit,Kepler,3,38.715185,883,,,2.79,,0.249,,,1,
Kepler-326,Kepler-326 b,2014,1,Space,Transit,Kepler,3,2.248329,355,,,1.52,,0.136,,,0.8,
Kepler-326,Kepler-326 c,2014,1,Space,Transit,Kepler,3,4.580358,355,,,1.4,,0.125,,,0.8,
Kepler-326,Kepler-326 d,2014,1,Space,Transit,Kepler,3,6.766888,355,,,1.21,,0.108,,,0.8,
Kepler-327,Kepler-327 b,2014,1,Space,Transit,Kepler,3,2.549575,217,,,1.11,,0.099,,,0.49,
Kepler-327,Kepler-327 c,2014,1,Space,Transit,Kepler,3,5.212333,217,,,1.03,,0.092,,,0.49,
Kepler-327,Kepler-327 d,2014,1,Space,Transit,Kepler,3,13.969457,217,,,1.73,,0.154,,,0.49,
Kepler-328,Kepler-328 b,2013,1,Space,Transit,Kepler,2,34.921,2078,,28.5,2.3,0.09,0.205,,1.1,1,
Kepler-328,Kepler-328 c,2013,1,Space,Transit,Kepler,2,71.312,2078,,39.4,5.4,0.124,0.482,,1.1,1,
Kepler-329,Kepler-329 b,2014,1,Space,Transit,Kepler,2,7.416397,338,,,1.4,,0.125,,,0.52,
Kepler-329,Kepler-329 c,2014,1,Space,Transit,Kepler,2,18.684737,338,,,1.93,,0.172,,,0.52,
Kepler-33,Kepler-33 b,2011,1,Space,Transit,Kepler,5,5.66793,1113,4.27,,1.74,,0.155,,1.29,1.82,0.3
Kepler-33,Kepler-33 c,2011,1,Space,Transit,Kepler,5,13.17562,1113,4.27,,3.2,,0.285,,1.29,1.82,0.3
Kepler-33,Kepler-33 d,2011,1,Space,Transit,Kepler,5,21.77596,1113,4.27,,5.35,,0.477,,1.29,1.82,0.3
Kepler-33,Kepler-33 e,2011,1,Space,Transit,Kepler,5,31.7844,1113,4.27,,4.02,,0.359,,1.29,1.82,0.3
Kepler-33,Kepler-33 f,2011,1,Space,Transit,Kepler,5,41.02902,1113,4.27,,4.46,,0.398,,1.29,1.82,0.3
Kepler-330,Kepler-330 b,2014,1,Space,Transit,Kepler,2,8.25978,686,,,1.35,,0.12,,,0.72,
Kepler-330,Kepler-330 c,2014,1,Space,Transit,Kepler,2,15.955387,686,,,1.95,,0.174,,,0.72,
Kepler-331,Kepler-331 b,2014,1,Space,Transit,Kepler,3,8.457496,626,,,1.82,,0.162,,,0.49,
Kepler-331,Kepler-331 c,2014,1,Space,Transit,Kepler,3,17.28111,626,,,1.84,,0.164,,,0.49,
Kepler-331,Kepler-331 d,2014,1,Space,Transit,Kepler,3,32.134328,626,,,1.64,,0.146,,,0.49,
Kepler-332,Kepler-332 b,2014,1,Space,Transit,Kepler,3,7.626324,372,,,1.17,,0.104,,,0.72,
Kepler-332,Kepler-332 c,2014,1,Space,Transit,Kepler,3,15.995622,372,,,1.09,,0.097,,,0.72,
Kepler-332,Kepler-332 d,2014,1,Space,Transit,Kepler,3,34.21154,372,,,1.18,,0.105,,,0.72,
Kepler-333,Kepler-333 b,2014,1,Space,Transit,Kepler,2,12.551158,300,,,1.32,,0.118,,,0.53,
Kepler-333,Kepler-333 c,2014,1,Space,Transit,Kepler,2,24.08821,300,,,1.11,,0.099,,,0.53,
Kepler-334,Kepler-334 b,2014,1,Space,Transit,Kepler,3,5.470319,473,,,1.12,,0.1,,,1.07,
Kepler-334,Kepler-334 c,2014,1,Space,Transit,Kepler,3,12.758005,473,,,1.43,,0.128,,,1.07,
Kepler-334,Kepler-334 d,2014,1,Space,Transit,Kepler,3,25.09849,473,,,1.41,,0.126,,,1.07,
Kepler-335,Kepler-335 b,2014,1,Space,Transit,Kepler,2,6.562331,1174,,,3.39,,0.302,,,1.85,
Kepler-335,Kepler-335 c,2014,1,Space,Transit,Kepler,2,67.844469,1174,,,3.07,,0.274,,,1.85,
Kepler-336,Kepler-336 b,2014,1,Space,Transit,Kepler,3,2.024823,721,,,1.02,,0.091,,,1.3,
Kepler-336,Kepler-336 c,2014,1,Space,Transit,Kepler,3,9.600001,721,,,2.1,,0.187,,,1.3,
Kepler-336,Kepler-336 d,2014,1,Space,Transit,Kepler,3,20.678772,721,,,2.37,,0.211,,,1.3,
Kepler-337,Kepler-337 b,2014,1,Space,Transit,Kepler,2,3.292781,518,,,1.54,,0.137,,,1.76,
Kepler-337,Kepler-337 c,2014,1,Space,Transit,Kepler,2,9.693201,518,,,2.05,,0.183,,,1.76,
Kepler-338,Kepler-338 b,2014,1,Space,Transit,Kepler,4,13.726976,568,,,2.44,,0.218,,,1.74,
Kepler-338,Kepler-338 c,2014,1,Space,Transit,Kepler,4,24.310856,568,,,2.34,,0.209,,,1.74,
Kepler-338,Kepler-338 d,2014,1,Space,Transit,Kepler,4,44.431014,568,,,3,,0.268,,,1.74,
Kepler-338,Kepler-338 e,2014,1,Space,Transit Timing Variations,Kepler,4,9.341,568,,8.5,1.56,0.027,0.139,,,1.74,
Kepler-339,Kepler-339 b,2014,1,Space,Transit,Kepler,3,4.977656,722,,,1.42,,0.127,,,0.8,
Kepler-339,Kepler-339 c,2014,1,Space,Transit,Kepler,3,6.988055,722,,,1.15,,0.103,,,0.8,
Kepler-339,Kepler-339 d,2014,1,Space,Transit,Kepler,3,10.558345,722,,,1.17,,0.104,,,0.8,
Kepler-34,Kepler-34 b,2011,1,Space,Transit,Kepler,1,288.822,1499,,69.92,8.564,0.22,0.764,0.613,1.05,1.16,
Kepler-340,Kepler-340 b,2014,1,Space,Transit,Kepler,2,14.844387,1060,,,2.53,,0.226,,,1.85,
Kepler-340,Kepler-340 c,2014,1,Space,Transit,Kepler,2,22.824669,1060,,,3.37,,0.301,,,1.85,
Kepler-341,Kepler-341 b,2014,1,Space,Transit,Kepler,4,5.195528,873,,,1.18,,0.105,,,1.02,
Kepler-341,Kepler-341 c,2014,1,Space,Transit,Kepler,4,8.01041,873,,,1.7,,0.152,,,1.02,
Kepler-341,Kepler-341 d,2014,1,Space,Transit,Kepler,4,27.666313,873,,,1.85,,0.165,,,1.02,
Kepler-341,Kepler-341 e,2014,1,Space,Transit,Kepler,4,42.473269,873,,,1.99,,0.178,,,1.02,
